VideoID,Title,URL,Topic,Status,Talk By
hqpyL-nYv74,Introduction: Sri Daya Mata Memorial Service,https://www.youtube.com/watch?v=hqpyL-nYv74,SRF||||Sri Daya Mata|Memorial Service|,completed,Sri Daya Mata
1PrQ25KkCdU,"“A Satguru’s Promise: ‘To Those who Think Me Near, I am Near’” (in Hindi) | By Swami Chaitanyananda",https://www.youtube.com/watch?v=1PrQ25KkCdU,YSS|Hindi|||Swami Chaitanyananda|,completed,Swami Chaitanyananda
zox8ZTFb6VI,“At the Feet of the Guru”— Studying the New SRF Lessons | 2020 SRF Online World Convocation,https://www.youtube.com/watch?v=zox8ZTFb6VI,SRF||||SRF Monastics|Convocation|,completed,SRF Monastics
b-LzFHT3Y2M,“Deepening Our Practice of Meditation” | A Talk by YSS Sannyasi Swami Smaranananda Giri in English,https://www.youtube.com/watch?v=b-LzFHT3Y2M,YSS||||Swami Smaranananda Giri|,completed,Swami Smaranananda Giri
FkWBsufZvz8,“Dynamic Will Can Change Your Life” by Brother Anandamoy,https://www.youtube.com/watch?v=FkWBsufZvz8,SRF||||Brother Anandamoy|,completed,Brother Anandamoy
0tBwwYPbmJ0,“Embraced in God’s Love — The Guru-Disciple Relationship” | How-to-Live Inspirational Service,https://www.youtube.com/watch?v=0tBwwYPbmJ0,SRF||||SRF Monastics|How-to-Live|,completed,SRF Monastics
A7NX02ijXRY,“He Bhagavan”: Sankirtan Led by SRF Monks,https://www.youtube.com/watch?v=A7NX02ijXRY,SRF|Hindi||Kirtan|SRF Monks|,completed,SRF Monks
xghFntmsTjQ,“I am castled in God’s presence…” | Brother Chidananda leads an affirmation by Yogananda,https://www.youtube.com/watch?v=xghFntmsTjQ,SRF|English|||Brother Chidananda|Talk|,completed,Brother Chidananda
2DldnYBZPsY,“I Am the Sky” — Devotional Singing of Paramahansa Yogananda’s Cosmic Chant by YSS Monastics,https://www.youtube.com/watch?v=2DldnYBZPsY,YSS||||YSS Monastics|Kirtan|,completed,YSS Monastics
TMaMOBnqD_g,“I Will Be Thine Always” — Devotional Singing of Paramahansa Yogananda’s Cosmic Chant by YSS Monks,https://www.youtube.com/watch?v=TMaMOBnqD_g,YSS||||YSS Monks|Kirtan|,completed,YSS Monks
Jifk7BOrObk,“Introduction to Kriya Yoga Meditation” | International Day of Yoga |2025 | Tamil,https://www.youtube.com/watch?v=Jifk7BOrObk,YSS|Tamil|||YSS Monastics|International Day of Yoga|2025|,completed,YSS Monastics
jMnnQAyq0Tg,“Introduction to Kriya Yoga Meditation” | International Day of Yoga| 2025 | Telugu,https://www.youtube.com/watch?v=jMnnQAyq0Tg,YSS|Telugu|||SRF Monastics|2025 |,completed,SRF Monastics
jrBXmH1Ubhc,“Jai Guru”: Sankirtan Led by SRF Nuns,https://www.youtube.com/watch?v=jrBXmH1Ubhc,SRF|Sanskrit||Kirtan|SRF Nuns|Kirtan|,completed,SRF Nuns
